,금융회사,상품명,세전이자율,세후이자율,세후이자(예시),최고우대금리,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_km,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
72,키움저축은행,회전식정기예금 (6개월단위 변동금리상품),4.00%,3.38%,"1,015,200",4.00%,단리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,영업점,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,7,우대사항없음,,,,,,,,,,,,,,,,,,,,
73,키움저축은행,회전식정기예금 (6개월단위 변동금리상품) (분당지점 창구전용),4.00%,3.38%,"1,076,720",4.00%,복리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",분당지점방문고객(타지점불가),영업점,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
74,키움저축은행,회전식정기예금 (6개월단위 변동금리상품) (분당지점 창구전용),4.00%,3.38%,"1,015,200",4.00%,단리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",분당지점방문고객(타지점불가),영업점,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,7,우대사항없음,,,,,,,,,,,,,,,,,,,,
75,키움저축은행,SB톡톡 회전식정기예금 (비대면) (6개월단위 변동금리상품),4.00%,3.38%,"1,076,720",4.00%,복리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
76,키움저축은행,SB톡톡 회전식정기예금 (비대면) (6개월단위 변동금리상품),4.00%,3.38%,"1,015,200",4.00%,단리,36개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
77,에스비아이저축은행,SBI회전 정기예금,4.00%,3.38%,"1,015,200",4.40%,단리,36개월,2023-10-26,"고객문의 1566-2210, 사이다 상품 전용 고객문의 1644-5277, (공시)리테일마케팅팀",1) 창구가입시 : 최대 03%p(12개월 경과시 적용) 2) 인터넷뱅킹(스마트뱅킹 포함) 가입 시 : 연0.4%p(12개월 경과시 적용),제한없음,모두가능,"- 만기 후 1개월 이하: 약정금리와 만기일자 12개월 정기예금 고시이율 중 낮은 금리(우대금리 미적용)
- 만기 후 1개월 초과: 보통예금이율",-1년 마다 고시이율이 적용되는 변동금리 상품,2,7,"* 영업점 : 0.3% 
* 비대면 :  0.4%",,,,,,,0.4%,0.3%,,,,,,,,,,,,
78,에스비아이저축은행,SBI회전 정기예금,4.00%,3.38%,"1,076,720",4.40%,복리,36개월,2023-10-26,"고객문의 1566-2210, 사이다 상품 전용 고객문의 1644-5277, (공시)리테일마케팅팀",1) 창구가입시 : 최대 03%p(12개월 경과시 적용) 2) 인터넷뱅킹(스마트뱅킹 포함) 가입 시 : 연0.4%p(12개월 경과시 적용),제한없음,모두가능,"- 만기 후 1개월 이하: 약정금리와 만기일자 12개월 정기예금 고시이율 중 낮은 금리(우대금리 미적용)
- 만기 후 1개월 초과: 보통예금이율",-1년 마다 고시이율이 적용되는 변동금리 상품,2,4,"* 영업점 : 0.3% 
* 비대면 :  0.4%",,,,,,,0.4%,0.3%,,,,,,,,,,,,
79,광주은행,스마트모아Dream정기예금,3.92%,3.32%,"994,890",4.12%,단리,36개월,2023-11-14,영업추진부 수신지원팀 062-239-5206 여신지원팀 062-239-6509 카드사업부 062-239-6107 *실제 상담은 인근영업점이나 당행 콜센터(1588-3388)로 문의,▶ 1천만원 이상 가입시 최대 0.2%우대,개인 및 개인사업자,온라인,"*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01%","1. 가입기간 : 1개월이상 3년제
2. 최소가입금액 : 100만원이상",1,8,* 기타 : 0.2% [1천만원 이상 가입],,,,,,,,,,,,,,0.2%,,,,,,
80,아산저축은행,정기예금,3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-10,영업부0415379000,없음,제한없음,영업점,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
81,아산저축은행,정기예금,3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-10,영업부0415379000,없음,제한없음,영업점,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
82,엔에이치저축은행,회전식 정기예금,3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-07,"고객문의 1588-5191, (공시)기획총무부",없음,제한없음,모두가능,"-1개월 이내: 지급 전일까지 해당 계좌의 약정금리와 기간별 적용금리 중 낮은 금리
-1개월 초과: 지급일 당시 보통예금 이율","-변동금리 상품: 가입기간은 36개월이며, 회전주기(매 1년)마다 약정이율 변동",2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
83,엔에이치저축은행,회전식 정기예금,3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-07,"고객문의 1588-5191, (공시)기획총무부",없음,제한없음,모두가능,"-1개월 이내: 지급 전일까지 해당 계좌의 약정금리와 기간별 적용금리 중 낮은 금리
-1개월 초과: 지급일 당시 보통예금 이율","-변동금리 상품: 가입기간은 36개월이며, 회전주기(매 1년)마다 약정이율 변동",2,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
84,오투저축은행,비대면 정기예금,3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
85,오투저축은행,비대면 정기예금,3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
86,오투저축은행,정기예금,3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율

[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
87,오투저축은행,정기예금,3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율

[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
88,오투저축은행,E-정기예금,3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
89,오투저축은행,E-정기예금,3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
90,조은저축은행,정기예금(서울본점),3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
91,조은저축은행,정기예금(서울본점),3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
92,하나저축은행,비대면 세바퀴정기예금(1년단위 변동금리상품),3.90%,3.30%,"989,820",3.90%,단리,36개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,-,제한없음,온라인,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
93,하나저축은행,비대면 세바퀴정기예금(1년단위 변동금리상품),3.90%,3.30%,"1,048,246",3.90%,복리,36개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,-,제한없음,온라인,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
94,동양저축은행,정기예금,3.80%,3.21%,"1,019,855",3.80%,복리,36개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
95,동양저축은행,정기예금,3.80%,3.21%,"964,440",3.80%,단리,36개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
96,동양저축은행,"정기예금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",3.80%,3.21%,"964,440",3.80%,단리,36개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
97,동양저축은행,"정기예금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",3.80%,3.21%,"1,019,855",3.80%,복리,36개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
98,하나저축은행,세바퀴정기예금(1년단위 변동금리상품),3.80%,3.21%,"1,019,855",3.80%,복리,36개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,"세바퀴 정기예금 가입시 0.1% 인터넷뱅킹,모바일APP,모바일WEB(하나디지털뱅크, 하나원큐연계)으로 가입시 0.1%",제한없음,모두가능,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
99,하나저축은행,세바퀴정기예금(1년단위 변동금리상품),3.80%,3.21%,"964,440",3.80%,단리,36개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,"세바퀴 정기예금 가입시 0.1% 인터넷뱅킹,모바일APP,모바일WEB(하나디지털뱅크, 하나원큐연계)으로 가입시 0.1%",제한없음,모두가능,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,7,우대사항없음,,,,,,,,,,,,,,,,,,,,
100,삼호저축은행,정기예금,3.70%,3.13%,"939,060",3.70%,단리,36개월,2023-11-14,"경영관리부,063-900-2110","만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2021.07월28일 현재 보통예금 이율 0.5%)",없음,영업점,없음,없음,3,7,우대사항없음,,,,,,,,,,,,,,,,,,,,
101,삼호저축은행,정기예금,3.70%,3.13%,"991,547",3.70%,복리,36개월,2023-11-14,"경영관리부,063-900-2110","만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2021.07월28일 현재 보통예금 이율 0.5%)",없음,영업점,없음,없음,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
102,삼호저축은행,정기예금(인터넷-모바일),3.70%,3.13%,"991,547",3.70%,복리,36개월,2023-11-14,"경영관리부,063-900-2110","만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2021.07월28일 현재 보통예금 이율 0.5%)",없음,온라인,없음,없음,3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
103,삼호저축은행,정기예금(인터넷-모바일),3.70%,3.13%,"939,060",3.70%,단리,36개월,2023-11-14,"경영관리부,063-900-2110","만기후 1개월 이내 해지시 약정금리 적용, 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2021.07월28일 현재 보통예금 이율 0.5%)",없음,온라인,없음,없음,3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
104,조은저축은행,e-정기예금,3.70%,3.13%,"939,060",3.70%,단리,36개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,온라인,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율","인터넷, 스마트폰 전용",4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
105,조은저축은행,e-정기예금,3.70%,3.13%,"991,547",3.70%,복리,36개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,온라인,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율","인터넷, 스마트폰 전용",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
106,CK저축은행,정기예금(춘천본점),3.70%,3.13%,"939,060",3.70%,단리,36개월,2023-11-07,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
107,CK저축은행,정기예금(춘천본점),3.70%,3.13%,"991,547",3.70%,복리,36개월,2023-11-07,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
108,오에스비저축은행,인터넷정기예금,3.70%,3.13%,"939,060",3.70%,단리,36개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,온라인,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
109,오에스비저축은행,인터넷정기예금,3.70%,3.13%,"991,547",3.70%,복리,36개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,온라인,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
110,오에스비저축은행,정기예금,3.70%,3.13%,"991,547",3.70%,복리,36개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,영업점,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
111,오에스비저축은행,정기예금,3.70%,3.13%,"939,060",3.70%,단리,36개월,2023-10-31,(예/적금) 고객지원팀 1644-0052 (공시) 전략분석팀 1644-0052,없음,제한없음,영업점,"-만기후 1개월 이내 : 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
-만기후 1개월 경과 : 보통예금 금리 적용","-가입금액 : 10만원 이상
-시장금리에 변동없는 최초 약정금리로 이자 수령",4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
112,평택상호저축은행,정기예금,3.68%,3.11%,"985,895",3.68%,복리,36개월,2023-03-09,"여신지원팀, 031-659-3382",해당사항 없음,제한없음,모두가능,보통예금 이율,보호금융상품 1인당 최고 5천만원,2,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
113,평택상호저축은행,정기예금(인뱅),3.68%,3.11%,"985,895",3.68%,복리,36개월,2023-03-09,"여신지원팀, 031-659-3382",해당사항 없음,제한없음,모두가능,보통예금 이율,보호금융상품 1인당 최고 5천만원,2,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
114,대신저축은행,대신든든정기예금,3.65%,3.09%,"926,370",3.65%,단리,36개월,2023-11-13,경영지원부 1644-5600,없음,모든고객,영업점,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",영업점전용상품,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
115,대신저축은행,대신든든정기예금,3.65%,3.09%,"977,423",3.65%,복리,36개월,2023-11-13,경영지원부 1644-5600,없음,모든고객,영업점,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",영업점전용상품,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
116,대구은행,DGB주거래우대예금(첫만남고객형),3.64%,3.08%,"923,820",4.29%,단리,36개월,2023-10-20,"개인여신기획부, 053-740-2230 리테일마케팅부, 053-740-2162",최고우대금리 : 연0.65%p - 목돈굴리기예금 최초 가입시 : 연0.20%p - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p - 상품 가입 전 최근 1개월 이내 인터넷.폰.스마트뱅킹 가입 : 연0.20%p * 해당 상품을 인터넷/스마트뱅킹을 통해 가입 : 연0.05%p,실명의 개인,모두가능,"만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%",계좌당 가입 최저한도 : 100만원,1,8,"* 최초거래 : 0.2% [목돈굴리기예금]
* 해당은행 : 0.2% [최근 1개월 이내 신용(체크)카드 신규 발급 혹은 최근 1개월 이내 인터넷.폰.스마트뱅킹 가입]
* 비대면 : 0.05%",,,,,0.2%,,0.05%,,0.2%,,,,,,,,,,,
117,디비저축은행,E-정기예금,3.60%,3.05%,"963,320",3.60%,복리,36개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684",* 최고우대금리 : 0.1% - 인터넷 가입시 : 연 0.1%,누구나 가입가능,온라인,"*1개월 이하: 기본이율
*1개월 초과: 0.5%",최소가입금액: 10만원 이상,2,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
118,디비저축은행,E-정기예금,3.60%,3.05%,"913,680",3.60%,단리,36개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684",* 최고우대금리 : 0.1% - 인터넷 가입시 : 연 0.1%,누구나 가입가능,온라인,"*1개월 이하: 기본이율
*1개월 초과: 0.5%",최소가입금액: 10만원 이상,2,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
119,디비저축은행,M-정기예금,3.60%,3.05%,"963,320",3.60%,복리,36개월,2023-11-02,"고객문의 1600-4902, (공시)개인금융팀 0237051684",* 최고우대금리 : 0.1% - 모바일 가입시 : 연 0.1% - 12개월 이상 ~ 13개월 미만 모바일 가입시 : 연 0.05%,개인고객,온라인,"*1개월 이하: 기본이율
*1개월 초과: 0.5%",최소가입금액: 10만원 이상,2,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
120,디비저축은행,M-정기예금,3.60%,3.05%,"913,680",3.60%,단리,36개월,2023-11-02,"고객문의 1600-4902, (공시)개인금융팀 0237051684",* 최고우대금리 : 0.1% - 모바일 가입시 : 연 0.1% - 12개월 이상 ~ 13개월 미만 모바일 가입시 : 연 0.05%,개인고객,온라인,"*1개월 이하: 기본이율
*1개월 초과: 0.5%",최소가입금액: 10만원 이상,2,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
121,스마트저축은행,정기예금,3.60%,3.05%,"913,680",3.60%,단리,36개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,영업점,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입한도 없음,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
122,스마트저축은행,정기예금,3.60%,3.05%,"963,320",3.60%,복리,36개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,영업점,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입한도 없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
123,스마트저축은행,e-로운 정기예금,3.60%,3.05%,"913,680",3.60%,단리,36개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
