,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
577,오케이저축은행,OK정기예금,,4.21%,3.56%,"356,170",4.21%,,단리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",-,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
578,고려저축은행,회전정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,영업점,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
579,고려저축은행,회전정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,영업점,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
580,고려저축은행,회전정기예금(비대면),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,온라인,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
581,고려저축은행,회전정기예금(비대면),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,온라인,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
582,다올저축은행,Fi 리볼빙 정기예금 (대면),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,영업점,"- 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 변동금리 상품 :가입기간36개월(가입 후 매1년 회전주기 단위로 약정이율 변동) /약정이율 : 회전시점의 Fi정기예금(비대면) 12개월 금리+0.05% / 중도해지이율 : 1개월미만 : 신규일(또는 최종회전일)의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 12개월미만 : 약정이율X60%",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
583,다올저축은행,Fi 리볼빙 정기예금 (대면),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,영업점,"- 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 변동금리 상품 :가입기간36개월(가입 후 매1년 회전주기 단위로 약정이율 변동) /약정이율 : 회전시점의 Fi정기예금(비대면) 12개월 금리+0.05% / 중도해지이율 : 1개월미만 : 신규일(또는 최종회전일)의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 12개월미만 : 약정이율X60%",3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
584,다올저축은행,Fi 리볼빙 정기예금 (비대면),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 변동금리 상품 :가입기간은 36개월(가입 후 매1년 회전주기 단위로 약정이율 변동) /약정이율 : 회전시점의 Fi정기예금(비대면) 12개월 금리+0.05% /중도해지이율 : 1개월미만 : 신규일(또는 최종회전일)의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 12개월미만 : 약정이율X60%",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
585,다올저축은행,Fi 리볼빙 정기예금 (비대면),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 1개월 까지 : 마지막 회전도래 시 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 변동금리 상품 :가입기간은 36개월(가입 후 매1년 회전주기 단위로 약정이율 변동) /약정이율 : 회전시점의 Fi정기예금(비대면) 12개월 금리+0.05% /중도해지이율 : 1개월미만 : 신규일(또는 최종회전일)의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 12개월미만 : 약정이율X60%",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
586,대신저축은행,대신든든정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,경영지원부 1644-5600,없음,모든고객,영업점,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",영업점전용상품,4,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
587,대신저축은행,대신든든정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,경영지원부 1644-5600,없음,모든고객,영업점,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",영업점전용상품,4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
588,대신저축은행,스마트회전정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,경영지원부 1644-5600,없음,스마트뱅크 가입고객,온라인,"* 만기후 1개월 이내 : 마지막 회전주기의 약정이율나 만기시점 동일상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",가입채널 제한 (모바일앱전용상품),4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
589,대신저축은행,스마트회전정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,경영지원부 1644-5600,없음,스마트뱅크 가입고객,온라인,"* 만기후 1개월 이내 : 마지막 회전주기의 약정이율나 만기시점 동일상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",가입채널 제한 (모바일앱전용상품),4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
590,대신저축은행,회전정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,경영지원부 1644-5600,없음,모든고객,영업점,"* 만기후 1개월 이내 : 마지막 회전주기의 약정이율나 만기시점 동일상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",영업점전용상품,4,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
591,대신저축은행,회전정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,경영지원부 1644-5600,없음,모든고객,영업점,"* 만기후 1개월 이내 : 마지막 회전주기의 약정이율나 만기시점 동일상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",영업점전용상품,4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
592,대한저축은행,정기예금(인터넷뱅킹),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,온라인,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
593,대한저축은행,정기예금(인터넷뱅킹),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,온라인,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
594,동양저축은행,정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
595,동양저축은행,정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
596,동양저축은행,"정기예금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,5,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
597,동양저축은행,"정기예금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
598,동원제일저축은행,회전정기예금(변동금리),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-02,"기획부, 1544-8811",없음,제한없음,영업점,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
599,동원제일저축은행,회전정기예금(변동금리),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-02,"기획부, 1544-8811",없음,제한없음,영업점,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
600,동원제일저축은행,회전정기예금-비대면(변동금리),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-02,"기획부, 1544-8811",없음,제한없음,온라인,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,계좌당 가입한도:5천만원,4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
601,동원제일저축은행,회전정기예금-비대면(변동금리),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-02,"기획부, 1544-8811",없음,제한없음,온라인,-만기 후 1개월 까지: 최종약정이율과 현재이율 중 낮은금리 적용 -만기 후 1개월 초과: 보통예금 금리 적용,계좌당 가입한도:5천만원,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
602,드림저축은행,정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,경영지원부 053-663-5027,-,-제한없음,영업점,"-1개월 이내: 공시이율과 
약정이율 중 낮은 이율
-1개월 초과: 보통예금 금리",-,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
603,드림저축은행,정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,경영지원부 053-663-5027,-,-제한없음,영업점,"-1개월 이내: 공시이율과 
약정이율 중 낮은 이율
-1개월 초과: 보통예금 금리",-,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
604,디비저축은행,Dream Big 정기예금 (변동금리),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684","* 가입시점 및 가입 후 매 회전주기(1년)마다 해당시점 정기예금 12개월 금리 + 0.1% * 회전일(매 금리변경일) 경과 후 중도해지시, 회전일(매 1년) 경과시점까지에 한하여 약정이율을 적용하며, 연장일부터 해지전일까지의 경과기간에 해당하는 중도해지이율 적용",누구나 가입가능,모두가능,"*1개월 이하: 기본이율**
*1개월 초과: 0.5%
**기본이율: 2회차 회전 도래시 적용된 12개월 정기예금 고시이율 (우대이율 미적용)",최소가입금액: 10만원 이상,2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
605,디비저축은행,Dream Big 정기예금 (변동금리),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684","* 가입시점 및 가입 후 매 회전주기(1년)마다 해당시점 정기예금 12개월 금리 + 0.1% * 회전일(매 금리변경일) 경과 후 중도해지시, 회전일(매 1년) 경과시점까지에 한하여 약정이율을 적용하며, 연장일부터 해지전일까지의 경과기간에 해당하는 중도해지이율 적용",누구나 가입가능,모두가능,"*1개월 이하: 기본이율**
*1개월 초과: 0.5%
**기본이율: 2회차 회전 도래시 적용된 12개월 정기예금 고시이율 (우대이율 미적용)",최소가입금액: 10만원 이상,2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
606,디비저축은행,E-정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684",* 최고우대금리 : 0.1% - 인터넷 가입시 : 연 0.1%,누구나 가입가능,온라인,"*1개월 이하: 기본이율
*1개월 초과: 0.5%",최소가입금액: 10만원 이상,2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
607,디비저축은행,E-정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684",* 최고우대금리 : 0.1% - 인터넷 가입시 : 연 0.1%,누구나 가입가능,온라인,"*1개월 이하: 기본이율
*1개월 초과: 0.5%",최소가입금액: 10만원 이상,2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
608,디비저축은행,M-Dream Big 정기예금 (모바일) (변동금리),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684","* 가입시점 및 가입 후 매 회전주기(1년)마다 해당시점 정기예금 12개월 금리 + 0.1% * 회전일(매 금리변경일) 경과 후 중도해지시, 회전일(매 1년) 경과시점까지에 한하여 약정이율을 적용하며, 연장일부터 해지전일까지의 경과기간에 해당하는 중도해지이율 적용",개인고객,온라인,"*1개월 이하: 기본이율**
*1개월 초과: 0.5%
**기본이율: 2회차 회전 도래시 적용된 12개월 정기예금 고시이율 (우대이율 미적용)",최소가입금액: 10만원 이상,2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
609,디비저축은행,M-Dream Big 정기예금 (모바일) (변동금리),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-07-14,"고객문의 1600-4902, (공시)개인금융팀 0237051684","* 가입시점 및 가입 후 매 회전주기(1년)마다 해당시점 정기예금 12개월 금리 + 0.1% * 회전일(매 금리변경일) 경과 후 중도해지시, 회전일(매 1년) 경과시점까지에 한하여 약정이율을 적용하며, 연장일부터 해지전일까지의 경과기간에 해당하는 중도해지이율 적용",개인고객,온라인,"*1개월 이하: 기본이율**
*1개월 초과: 0.5%
**기본이율: 2회차 회전 도래시 적용된 12개월 정기예금 고시이율 (우대이율 미적용)",최소가입금액: 10만원 이상,2,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
610,머스트삼일저축은행,비대면정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-10,경영관리팀 0542754060,없음,제한없음,온라인,"-만기후 1개월 이내 : 약정이율 Ⅹ 100% 
-만기후 1개월 초과: 연0.2%",없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
611,머스트삼일저축은행,비대면정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-10,경영관리팀 0542754060,없음,제한없음,온라인,"-만기후 1개월 이내 : 약정이율 Ⅹ 100% 
-만기후 1개월 초과: 연0.2%",없음,5,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
612,머스트삼일저축은행,e-정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-10,경영관리팀 0542754060,없음,제한없음,온라인,"-만기후 1개월 이내 : 약정이율 Ⅹ 100% 
-만기후 1개월 초과: 연0.2%",없음,5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
613,머스트삼일저축은행,e-정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-10,경영관리팀 0542754060,없음,제한없음,온라인,"-만기후 1개월 이내 : 약정이율 Ⅹ 100% 
-만기후 1개월 초과: 연0.2%",없음,5,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
614,바로저축은행,스마트정기예금(인터넷),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-10-17,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,온라인,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리","1. 최소가입금액: 10만원이상
2. 정기예금 12개월 초과 3.00% (정기예금 12개월만 4.20% 적용)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
615,바로저축은행,스마트정기예금(인터넷),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-10-17,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,온라인,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리","1. 최소가입금액: 10만원이상
2. 정기예금 12개월 초과 3.00% (정기예금 12개월만 4.20% 적용)",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
616,바로저축은행,SB톡톡 정기예금(비대면),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-10-17,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,온라인,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리","1. 최소가입금액: 10만원이상
2. 정기예금 12개월 초과 3.00% (정기예금 12개월만 4.20% 적용)",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
617,바로저축은행,SB톡톡 정기예금(비대면),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-10-17,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,온라인,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리","1. 최소가입금액: 10만원이상
2. 정기예금 12개월 초과 3.00% (정기예금 12개월만 4.20% 적용)",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
618,부림저축은행,정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,"영업부, 031-443-3800",없음,개인 및 법인고객,영업점,"- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리
- 만기후 1개월 초과 : 연 0.25%",.,1,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
619,부림저축은행,정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,"영업부, 031-443-3800",없음,개인 및 법인고객,영업점,"- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리
- 만기후 1개월 초과 : 연 0.25%",.,1,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
620,부림저축은행,톡톡정기예금(비대면),,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,"영업부, 031-443-3800",없음,개인고객,온라인,"- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리
- 만기후 1개월 초과 : 연 0.25%",.,1,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
621,부림저축은행,톡톡정기예금(비대면),,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,"영업부, 031-443-3800",없음,개인고객,온라인,"- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리
- 만기후 1개월 초과 : 연 0.25%",.,1,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
622,스카이저축은행,정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-01,"영업부, 02-3485-4196",없음,제한없음,영업점,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,최소금액:10만원이상,2,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
623,스카이저축은행,정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-01,"영업부, 02-3485-4196",없음,제한없음,영업점,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,최소금액:10만원이상,2,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
624,스카이저축은행,b-정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-07,"영업부, 02-3485-4196",없음,제한없음,온라인,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,최소금액:10만원이상,2,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
625,스카이저축은행,b-정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-07,"영업부, 02-3485-4196",없음,제한없음,온라인,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,최소금액:10만원이상,2,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
626,스카이저축은행,e-정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-07,"영업부, 02-3485-4196",없음,제한없음,온라인,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,최소금액:10만원이상,2,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
627,스카이저축은행,e-정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-07,"영업부, 02-3485-4196",없음,제한없음,온라인,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,최소금액:10만원이상,2,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
628,스타저축은행,스타e_정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,융자부 0632776611,없음,제한없음,온라인,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
629,스타저축은행,스타e_정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,융자부 0632776611,없음,제한없음,온라인,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
630,스타저축은행,정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-13,융자부 0632776611,없음,제한없음,영업점,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
631,스타저축은행,정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-13,융자부 0632776611,없음,제한없음,영업점,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
632,아산저축은행,정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-10,영업부0415379000,없음,제한없음,영업점,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
633,아산저축은행,정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-10,영업부0415379000,없음,제한없음,영업점,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
634,아산저축은행,e-정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-10,영업부0415379000,없음,제한없음,온라인,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
635,아산저축은행,e-정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-10,영업부0415379000,없음,제한없음,온라인,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
636,안양저축은행,비대면-정기예금,,4.20%,3.55%,"362,240",4.20%,,복리,12개월,2023-11-01,"영업지원팀, 031-463-7882 (예금문의 031-441-4141)",없음,"만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인납세자에 해당하지 않는 고객",온라인,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지이율:
1개월미만: 계약일의 보통예금 금리, 
1개월이상 6개월미만: 약정이율의 50%, 
6개월이상 12개월미만: 약정이율의 60%, 12개월이상: 약정이율의 70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
637,안양저축은행,비대면-정기예금,,4.20%,3.55%,"355,320",4.20%,,단리,12개월,2023-11-01,"영업지원팀, 031-463-7882 (예금문의 031-441-4141)",없음,"만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인납세자에 해당하지 않는 고객",온라인,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지이율:
1개월미만: 계약일의 보통예금 금리, 
1개월이상 6개월미만: 약정이율의 50%, 
6개월이상 12개월미만: 약정이율의 60%, 12개월이상: 약정이율의 70%",3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
