상품명,제목,날짜,본문,댓글
다올저축은행 예금, 재무제표 다올저축은행 괜찮나요? ,2022.08.14. 03:32,"다올저축은행 건전한가요지표가 하기와 같네요



 














​",['bis 8%이상\n고정이하 여신비율 8%이하\n유동성 100%이상\n총 자산수익률 1% 이상\n\n으로볼땐 괜찮은거 같은데요\n퇴직연금(irp)에서 다올저축은행 \n예금 가입했었습니다. 현재 유지중']
다올저축은행 예금, 다올저축은행 앱 지금 들어가지나요?? ,2022.10.20. 01:47,왜 자꾸 멈춰있는상태인지.... ㅠㅠ다올은 첨인데 바로 FI정기예금계좌만 만들수있는건지도 궁금합니다.  보통 비대면 저축은행 앱 하나 틀때수시입출금통장 하나가 만들어지면서예금이나 적금이 개설되던데다올도 그래야하는지 바로 F1정기예금하나만 가입가능한지 궁금하네요~,['저도 안돼요']
다올저축은행 예금, 다올 해지하신 분들 어떻게 하셨나요 ,2023.10.24. 11:49,"​오늘 다올 해지 했는데요, fi저축예금 - 한도제한계좌로 연결돼서 해지처리가 됐어요. 저축은행 여러군데 했는데 여기만 fi저축예금 계좌가 만들어져 있긴 했어요. 왜인지도 몰라요 ㅜ ​당연히 한도제한 걸려서 이체가 안 되구요 ㅜ 금융인증서 등록조차 잘 안되고 답답 속터지고 있어요. 다른분들은 해지하고 바로 입금통장으로 인출 받으셨나요?","['지난주 다올 만기였는데, 가입할때 등록한 타은행 입출금계좌로 받았어요.']"
다올저축은행 예금, 다올저축은행 ,2022.07.25. 16:30,"[Web발신][다올저축은행] 금리변경 안내항상 다올저축은행을 이용해주시는 고객님께 감사드립니다. 수시입출금상품 금리가 인상될 예정이오니 참고하여 주시기 바랍니다.​■ 금리안내 - 더드림 저축예금 : 1.4%에서 1.8%로 인상 (연이율,세전)- e더드림 저축예금 : 1.6%에서 2.0%로 인상 (연이율,세전)- 플러스 파킹통장 : 1.8%에서 2.3%로 인상 (연이율,세전)​■ 시행일 : 2022.07.25 (월)■ 본 상품은 변동금리이므로, 이율이 변경되는 경우 변경일부터 변경된 이율이 적용됩니다. 또한 변경일 이전 가입한 계좌도 해당됩니다.​※ 본 문자는 2022.07.21 기준으로 SMS 정보수신동의 고객에게 발송되었습니다.​※ 본 상품은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 상호저축은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 “최고 5천만원”이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.​고객센터 : 1544-6700무료수신거부 : 080-850-8899[다올저축은행 준법감시인 심의필] 22-368호 (22.07.20~23.07.19)",['좋은 소식이네요!']
다올저축은행 예금, 다올저축은행 안전한가요? ,2022.11.10. 13:08,다올에 fi정기예금이 부분해지도 된다하여 가입하고픈데여기 안전한가요?저는수치들을 봐도 볼줄모릅니다.ㅜ또 저축은행중 안전한곳 서너곳 추천도 부탁드립니다,"['기사보면 pf대출, 연체율 적지 않긴한데… 저축은행들이 대부분 그래서요… ok보단 지표상 났고요.']"
다올저축은행 예금, 다올 저축은행 소식입니다  문자받아서 공유합니다 ,2022.05.23. 13:11,"(광고) [다올저축은행] 정기예금 금리인상 안내항상 다올저축은행을 이용해주시는 고객님께 감사드립니다. 5/23(월)부터 인상되는 정기예금 금리를 안내드립니다.■ 금리안내 (연,세전)★회전정기예금 (12개월) : 비대면 3.30%, 대면 3.10%★일반정기예금 (12개월) : 비대면 3.25%, 대면 3.05%-회전정기예금 계약기간은 36개월이며, 매1년 주기로 약정이율이 변동됩니다.-회전정기예금 금리변동기준 : 회전시점의 일반정기예금 12개월 금리+0.05%■ 가입금액 : 10만원이상■ 이자지급방식 : 단리식(매월이자지급), 복리식(만기일시지급)■ 중도해지이율 -1개월미만 : 신규일의 보통예금금리-6개월미만 : 약정이율의 50%-9개월미만 : 약정이율의 55%-12개월미만 : 약정이율의 60%-12개월이상 : 약정이율의 70%-회전정기예금 : 회전일 경과 후 중도해지 시 매1년 경과시점까지에 한하여 약정이율이 적용되며, 잔여기간은 중도해지이율이 적용됩니다.■ 만기후이율-1개월이내 : 약정금리와 만기 시 약정금리 중 낮은이율-1개월초과 : 연0.1%※계약체결 전 상품설명서 및 약관을 확인하시기 바랍니다.※해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.※이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 상호저축은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 “최고 5천만원”이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.[고객센터] 1544-6700  [무료수신거부] 080-850-8899다올저축은행 준법감시인 심의필 제22-276호 (22.05.20~23.05.19)",['회전정기예금은 가입기간이 36개월인데\n\n1년만기 이자받고 해지해도\n3.3% 맞죱?\n\n은행이 전화를 안받네요']
다올저축은행 예금, 다올 저축은행 조건없이 하루3.4%주네요~ ,2022.08.05. 00:24,어제 저축은행 검색하다 다올 e자유해지 정기예금 있길래 20일 제한 상관없는 통장이고 해서 만들었는데 중도해지 해도 약정이율로 준다해서 3.4%가입하고 지금 하루 지나서 예금해지 조회 하니 진짜 3.4%주네요.. 신협 입출금통장20일 제한 걸려서 가입못하는 동안 파킹통장보다 이율 좋네요~^^​정정—-통장 20일제한 걸려있는 상태에서 가입하면  예금전용계좌로 만들어 지고 이율이 내렸어요참고들 하세요~,['지금은 3.13으로 나오네요...']
다올저축은행 예금, 다올저축은행 1년만 예금 가입하고 싶습니다. 조건을 어떻게 맞추면 되는걸까요 ?? ,2022.10.20. 15:07,다올저축은행 1년만 예금 가입하고 싶습니다. 조건을 어떻게 맞추면 되는걸까요 ??​상품은 리볼빙 정기예금 입니다.,['제1안 원금4700만\n제2안 원금2000만']
다올저축은행 예금, 다올저축은행 fi자유해지 정기예금 4.2로 변경되었나봅니다 + 11.02 파킹통장 정리기사 ,2022.11.03. 18:25,"파킹통장 알아보다가 자유해지 정기예금도 둘러보는데기존 4.5 에서 4.2로 변동된것 같습니다​



 








저축은행에 ‘4% 파킹통장’ 나왔다는데…온전히 활용하려면 - 대한금융신문
#이달 초 A저축은행 적금 상품을 든 B씨는 가입한 지 한달도 안 지나 해지하고 똑같은 상품에 다시 가입했다. 며칠 사이 오른 금리 때문이었다. B씨는 이보다 더 높은 금리를 제공하는 타사 상품을 보고 다시 갈...
www.kbanker.co.kr






 



​윗 링크는 22.10.27 (해당자료는 10.26기준) 기사글인데ok 중도해지예금은 현재 3.3으로 변동된것 같고 우리금융은 그대로 4.5 유지같아요​더 찾아보니 중도해지OK정기예금369 (3개월변동금리) 는 3.3으로 변경되었고중도해지OK정기예금6 (6개월)은 최고 4.6 입니다 ​​​기사내용중에 



 



​저축은행 상품에 대한 안전한 투자방식도 소비자들의 주요 관심사다. 최근 금융권 내 부동산 프로젝트 파이낸싱(PF) 리스크가 부각되고 경기가 불안전해지자 저축은행에 대한 소비자 우려가 커진 것.​가지급금 신청제도를 인지하고 활용하는 게 한 방법이 될 수 있다. 예금보험공사는 5000만원까지 예금을 보장하는 것 외에도 ‘가지급금’ 제도를 운영하고 있다.​예금을 넣어 둔 금융기관이 파산할 경우 예보에 가지급금 수령을 신청하면 신청 당일 및 익일에 예보에서 지정한 금액을 받을 수 있다. 가지급금 규모는 예금보험위원회가 정하고 있으며 지난 2012년 저축은행 부실사태 당시에는 2000만원으로 정해졌다.​예보의 보험금 지급은 파산한 저축은행의 피인수 상황 등에 따라 수개월이 걸릴 수 있지만 해당 제도를 활용하면 하루 만에 수령이 가능하다.​예보 한도 5000만원이 아닌 이전 가지급금 규모 2000만원에 맞춰 목돈을 굴리는 소비자들도 나오고 있다. 다만 현재로선 발생하지 않은 파산에 대한 가지급금 규모를 확정할 수 없어 참고하는 정도로 활용해야 한다는 게 예보 입장이다.​예보 관계자는 “가지급 금액은 위원회가 정하는 사안으로 상황에 따라 다르다”라며 “지난 부실사태 당시 정해진 2000만원이 향후에도 똑같이 적용될지는 알 수 없다. 참고하는 정도로 바라보는 게 좋다”라고 말했다.​출처 : 대한금융신문(http://www.kbanker.co.kr)








라는 부분도 보이네요​​​아래는 어제 11.2 기사글 파킹통장 정보입니다 



 








파킹통장 금리도 4%… “며칠 넣어도 이자가 붙네”
파킹통장 금리도 4% 며칠 넣어도 이자가 붙네 2일 기준 애큐온 파킹통장 금리 연 4%·SC제일은행 연 3% 하루만 맡겨도 이자 만기 없어
biz.chosun.com






 














​​",['기존에 든 사람도 변경되는건가요?']
다올저축은행 예금, 다올 6.45% 3년회전예금 만기 ,2023.10.20. 12:12,​이자 오전에 들어왔고 이율이 4.3%로 떨어져서 해지했어요.​한투는 내일  일년만기인데 전화해 보니까 토요일에는 해지가 안되서 월요일날 입금된다고 해요. 전용계좌 가입이라 토스로 자동 입금되요한투는 이건 일년 6.5%요,['한투 만기해지 했어요\n만기가 주말이면 하루전날 만기해지 됩니다\n하루치 이자만 제하구요']
바로저축은행 예금, OK저축은행 연 6.5% 정기예금 특판 ,2022.10.28. 14:54,OK저축은행 연 6.5% 정기예금 특판기사 뜬거 보고 바로 기존 OK저축은행 예금 5.?% 해지하고 6.5%로 갈아탔네요 ^^다른 저축은행 예금 부분해지 하고 최대한 넣었습니다.  사람이 몰리는지 오전에 OK 앱이 먹통되더라구요.,['지금도 가입되나요?']
바로저축은행 예금, 상상인저축은행  회전정기예금 연6% ,2022.10.19. 09:40,"제목 (광고)[상상인저축은행]예금금리인상 안내[Web발신](광고) [상상인저축은행] 정기예금 금리인상 안내​■ 상품① 회전정기예금(뱅뱅뱅/비대면): 연 6.00% (세전)​② 회전정기예금(창구): 연 5.91% (세전)​▷가입기간: 2년, 3년, 4년, 5년(회전주기:12개월/매 회전주기 단위로 약정이율 변동)▷이자지급시기: 단리-매월지급, 복리-매 회전주기(12개월)마다 지급​③ 정기예금(뱅뱅뱅/비대면) 12개월: 연 5.81% (세전), 24개월: 연 5.91% (세전)④ 정기예금(창구) 12개월: 연 5.71% (세전), 24개월: 연 5.81% (세전)​▷이자지급시기: 단리-매월지급, 복리- 만기일시지급​■ 가입금액: 10만원이상■ 가입방법: 창구, 상상인디지털뱅크앱 “뱅뱅뱅”, SB톡톡플러스, 인터넷뱅킹   ☞[뱅뱅뱅]앱 설치 바로가기 : https://bit.ly/3qVjc4m​   ☞비대면 계좌개설 안내영상 : https://bit.ly/3t2FTqi​​※ 본 상품의 금리는 2022.10.19.(수).기준입니다.※자세한 사항은 홈페이지/앱 상품페이지 참고 바랍니다.※이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 상호저축은행에 있는 귀하의 모든 예금보호대상 금융상품의 원금과 소정의 이자를 합하여 1인당 “최고 5천만원”이며, 5천만원을 초과하는 나머지금액은 보호하지 않습니다.※계약 체결 전 상품설명서 및 약관을 확인하시기 바랍니다.※해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.※법적 지급 제한 등이 등록되거나 사고신고가 등록된 경우 잔액의 출금/입금/해지가 제한됩니다.​고객센터: 1577-1771 (평일09:00~18:00)무료수신거부 : 080-850-1771상상인저축은행 준법감시인 심의필 2022-064호 (22.10.18~23.10.17)



 





상상인저축은행
요청하신 페이지를 찾을 수 없습니다. 페이지의 주소가 잘못 입력되었거나, 주소가 변경 혹은 삭제되어 요청하신 페이지를 찾을 수 없습니다. 메인으로 이동
bit.ly






 









[상상인 HOW-TO] 뱅뱅뱅 상상인디지털뱅크 비대면 계좌개설 안내_ver.210913
#뱅뱅뱅 상상인디지털뱅크 비대면 계좌개설 관련 동영상 안내입니다.더 쉽고 빠르게!, #상상인저축은행을 이용해 보세요!
bit.ly",['드디어 6%가 나왔군요 ㅋ']
바로저축은행 예금, 저축은행 예금 가입가능한 I S A ? ,2022.11.12. 13:44,요즘 예적금 금리가 높아져서 ISA 신탁형 가입하려고 하는데요.은행 ISA에 가입하면 저축은행 예금 가입 가능한지요? 혹시 가입하셨다면 은행 추천 부탁드려도 될까요?​그리고 증권사 또한 내점해서 신탁형 가입하면 예금 가입하다는 얘기 들었는데요.은행과 마찬가지로 저축은행 상품 가입 가능한지 궁금합니다.​이번에 ISA 처음 알게 돼서 가입하려다 보니 IRP보다 더 어렵네요. 휴~,['비과세라도 신탁수수료 내고 나면 또이또이 같아요']
바로저축은행 예금, 다올 hb 저축은행 회전식예금 해지해도 되나요? (이자 원금 입금완료) ,2023.10.20. 06:49,아직 이자는 따로 입금되지 않았는데 해지해도 되는지 궁금합니다.예금 거래내역에는 이자가 6시 30분대로 지급내역이 있는데그냥 해지해도 되는지 아니면 이자 들어오는거 확인하고넣어야 하는지 궁금하네요​그냥 해지하면 이자는 바로 들어올까요?,['전 12시10분에 바로 해지하니 이자도 다 들어왔어요']
바로저축은행 예금," 다올저축은행 예금해지후., ",2022.10.28. 18:54,다올저축은행 예금해지후 입출금계좌로 입금되었는데 다른곳으로 이체하려니  otp 6자리 입력후 이쳬는 안되고 공동인증서로 넘어가는데 타기관공동인증서도 발급받아야 하나요??넘 복잡해서 ㅠㅠ,['와 오늘여기서 돈뺀다고 하루종일걸렸어요ㅠ']
바로저축은행 예금," 예금 고민 들어주세요(조은저축, 새마을) ",2023.08.15. 14:16,500만원을 예금 통장에 넣어놓으려고 하는데요어제 입출금통장을 만들어서 9월 12일까지는 신규은행 개설 못합니다.​- 조은 저축은행 특판예금 6개월 4.5%(통장개설 20일 제한 상관없음)- 새마을금고 예금 5.5%. 아마 가입하면 7~9개월정도 할 듯(새마을금고 계좌가 없어서 20일 제한. 9월 12일부터 개설 가능)​지금 상황에서 바로 가입 가능한 거는 조은 저축은행인데 새마을금고 예금이 좀 더 쎄서 한 달 기다렸다가 새마을금고 드는 게 나을지 아님 하루 빨리 조은저축이 나을지 고민 되네요.. ​혹시 이거 관련 이자 계산해주실 수 있을까요?​+ 만약 한달 뒤 새마을에 예금 넣을 경우 500만원은 ok읏백만통장2(5백만원 초과부터 3.5%) 파킹통장에 잠시 넣어둘 예정입니다.,['기다렸다가 새마을금고에 가입이 좋을듯요. 한달에 1%차이 나므로 현재 새마을이 앞으로1개월후 동결내지 인상될지 모르고 떨어진다 한들 0.5%로 인하돼 5%여도 이자 대비는 같습니다.']
바로저축은행 예금, 월요일 0시 되면 저축은행 예금 해지 가능할까요? ,2022.10.30. 22:58,주말에 해지가 안되는 것이니 오늘 자정 지나면 바로 해지 가능할까요?sb톡톡으로 가입한 우리금융저축은행 예금입니다,['예. 딱 12시는 아니여도 새벽에 가능합니다.휴일은 않되는 경우가 많습니다']
바로저축은행 예금, 영광군수협(강남서초지점) 7-12개월 5.25%-5.5% 예금특판 상담내용:초보가입동영상 추가 ,2023.10.18. 15:32,"조금전 서버폭주로 경영평가가 열리지 않아, 직접 통화문의 결과, 작년.올해 상반기 1등급 경영평가 대상 수상!(직원분이 막 자랑하고 싶다는 느낌을 받음 ^^)총자산은 약 8000천억 수준이라고 합니다. 직원분께서는 수협은 보통 금융기관과 달리 다른 경제사업을 하다보니 경영평가 내의 순자본 총자본의 숫자에 너무 크게 의미를 담지 말라고 하시더군요. 일단, 어제 마산수협보단 깔끔하게 바로 설명해주셔서 좋았네요.



 

























우선, 낼모레 20일(금) 오전 9시 특판시작! 영광군수협 강남서초 지점만​얼쑤정기예금 7-11개월 5.25%(기본3.5%+개월수 기본우대1.65%+마케팅동의0.1%)얼쑤정기예금 12개월 5.5%(기본4%+개월수 기본우대1.4%+마케팅동의0.1%)​전국의 그 어떠한 회원수협 입출금통장 1개만 있으시면 가입 가능! 모집금액 총 140억원​영광군수협[강남서초지점] 입출금통장 가지고 가지고 계신분은 신분증 스캔없이 바로 진행되니 빠르시겠죠 아무래도..하지만, 타 수협계좌분들도 9시 5분전에 최소금액으로 이 지점꺼 아무 예적금 가입 후, 돌아와서 바로 여기특판 진행하시면 신분증 스캔 과정없이 바로 될꺼예요. 잘 되시는 분들도 있고 안된다는 분도 있고하니 미리 연습해 보셔요. 특판 성공 후 다시 해지하면 되니까요..신분증 스캔은 형광등 역광없는 어두운 바탕에서 하셔야 한번에 에러없이 진행됩니다. 초보분들 유의하시고요ㅡ​<마산수협 23개월 대출 선납이연 진행하시는분들 중간납입 목돈 여기에 11개월 혹은 12개월 예금 넣으셔도 ok>



 



  



   광고 후 계속됩니다.     다음 subject author   
			취소
		   
	재생 
 524                      0:00:00    
		재생
	    
		음소거
	         
	00:00
  
	01:03
 실시간     
		설정
	    
		전체 화면
	      
			해상도
		 자동 360p   
			자막
		 사용 안함  
			재생 속도
		 1.0x (기본)   해상도   
			자동 (360p)
		   
			1080p
		 HD    
			720p
		 HD    
			480p
		   
			270p
		    자막 자막 추가  
	설정
   
			사용 안함
		      옵션  글자 크기    배경색    재생 속도   0.5x 1.0x (기본) 1.5x 2.0x    
        알 수 없는 오류가 발생했습니다.
     
					도움말
				   음소거 상태입니다. 
                    도움말
                
                    라이선스
                 
				고화질 재생이 가능한 영상입니다.
				설정에서 해상도를 변경해보세요.
			 더 알아보기 
	0:00:00
             
접기/펴기영광군수협(강남서초지점) 7-12개월 예금특판 상담내용:초보가입동영상 추",['정보 감사합니다. 예금 특판이에요?']
바로저축은행 예금, 저축은행 6개월 4.4-4.53% 예금(통장개설 20일 제한 상태서 진행하세요-현재 감옥이신분은 바로 진행가능) ,2023.10.24. 22:30,전용계좌 상품이라 20일 제한 아닌 상태서 하시면 입출금통장이 자동으로 개설되어 통장개설 20일 제한에 갇히시게 됩니다.,['와우~좋은데요👍']
바로저축은행 예금, bnk저축은행 7월만기예금 ,2023.01.06. 13:16,"sbi, 상상인, 웰컴, bnk저축은행등 집팔고 가진 예금이 골고루 들어 있는데 만기가 올해 거의 하반기들 입니다.제일 먼저 돌아오는 bnk저축은행이 7월중순인데  지금 상황들이 불안해서 걱정스럽네요.5천 안되게 시중 1금융권으로 쪼개도 여러군데라 파킹통장에도 나눠 놨는데 저축은행들이 걱정스러워서 어째야 될지를 모르겠네요. 전부다 해지를 해야 될지, 그럼 어디다 넣어둬야 될지 고민이 답이 안나오네요.(절대 자랑아니구 나이도 많아 은퇴가 코앞인 우리집 전재산 입니다. - -;;)","['예보 한도 5천만원 이내고, 혹여라도 저축은행 망했을 때 몇개월 묶이는게 큰 지장 없다면 유지하셔도 되지 않을까 조심스레 생각해 봅니다.\n만기 되는 대로 빼서 이자 좀 낮아도 안정적인 저축은행으로 옮기시던가 우체국도 있구요.\n저는 저축은행에 묶여 있던 돈들이 묶이면 안되는 돈들이라 빼고 있지만 오늘 내일 쓰실 돈이 아니시라면 어쨌든 예금자보호 제도가 있으니 본인 사정에 맞게 잘 생각해 보세요^^']"
바로저축은행 예금, 바로 저축은행 1년 만기 ,2023.10.17. 11:48,"작년에 1500만원 5.5% 로 정기예금든 거 오늘 만기돼서 15,715,827 원 받았습니다.​SB톡톡으로 가입했는데 이체한도 걸려 있어서 아직 주 통장으로 이체 못하고 있네요.새벽에 시도해 보다 잘 안 돼서 포기했는데다시 시도해 봐야하는 상황입니다.",[]
바로저축은행 예금, 저축은행 입출금계좌 없이 예금 가입할려면 어떻게 해야 하나요? ,2022.06.04. 17:38,저축은행 예금상품을 입출금 계좌 안만들고 바로 가입할 수 있다고 하는데 어떻게 하는지 모르겠어요​어떻게 하는지 대충이라도 알려주실 수 있나요?​,['SB톡톡+ 저축은행 통합 앱을 통해 전용계좌 라고 표시된 예금 상품은말씀 하신 것처럼 예금상품만 가입 가능합니다SB톡톡+ 앱을 검색해보시면 정보 얻을 수 있습니다']
바로저축은행 예금, 신문에 나오는 상황으로는 예금금리도 올라가야 하는데... ,2023.10.30. 09:57,"https://n.news.naver.com/article/028/0002662327?cds=news_media_pc



 








대출자 갈 곳 줄고 예금자 서로 모시기…고금리 장기화 영향
고금리가 장기화하면서 대출자와 예금자의 희비가 엇갈리고 있다. 기존 대출자산 부실이 커지자 은행들은 중·저신용자 대출을 줄이고 있다. 반면, 일부 은행에서는 6개월 만기 정기예금 금리를 1년 만기 금리보다 오히려 더
n.news.naver.com






 



https://n.news.naver.com/article/028/0002662313?cds=news_media_pc



 








미국 고금리 장기화…한국경제 ‘빚 폭탄’ 터질라
☞한겨레 뉴스레터 H:730 구독하기. 검색창에 ‘한겨레 h730’을 쳐보세요. 2년 전 ‘영끌’로 6억원대 아파트를 구입한 40대 한아무개씨. 총 4억원의 주택담보대출과 신용대출을 받았는데, 첫 대출금리가 각각 연
n.news.naver.com






 



작년에 레고때 터진 고금리 상품들 만기들이 몰리면서 새마을금고가 예금 금리를 살금살금 내리고 있내요..이제는 저축은행 신협 농협 수협이 따라 올라오는 상황으로금리 수준이 별 차이가 없어지고 있습니다.​뭔가 이벤트가 터져면 바로 예금금리가 급등 할텔데..복지부동 한국은행이 기준금리를 내년 총선 때문인지 경제 파급력 때문인지..이러지도 저러지도 못하는 어정쩡한 상황에 이스라엘 전쟁까지 터지고​금리가 어느 방향으로 갈지...??",['선거끝나야 하지않을까요전 6개월 단기 예적금도 알아보는 중입니다']
바로저축은행 예금, 우리금융저축은행 중도해지 더마니드림 e-정기예금 가입 Tip!!! (20일제한없이) ,2022.09.26. 13:28,"저도 이번달에 오케이입출금 개설한 것이 있어 우리금융저축의 더마니드림 e-정기예금을 다음달까지 기다려야 하는 줄 알았는데, 저축은행에서 전용상품으로 표시된 상품은 해당 저축은행의 입출금예금 개설없이 전용입출금계좌를 통해 정기예금들을 가입할 수 있더군요.SB톡톡에서 더마니드림 e-정기예금을 선택하여 개설 절차를 진행하면 마지막부분에서 전용입출금계좌로 하겠냐고 묻고 계좌번호를 알려줍니다. (가상계좌같아요!) 가입이 완료되면 해당 전용입출금계좌로 입금해주면 완료됩니다.​참고들 하세요...이제 저축은행 상품은 20일 제한없이 가입할 수 있는 상품들이 많아 좋네요...​검색해보니 정기예금전용계좌라는 군요... 저축은행은 이를 이용해서 20일 개설제한없이 정기예금등을 들 수 있도록 21년부터 시행하고 있다고 하네요...",['그럼 해지시에는 돈을 어디로 입금받는건가요?']
바로저축은행 예금, 웰컴저축은행 m-정기예금 복리 년 5.75% ,2022.12.25. 10:30,"6개월 5.5%1년 5.7%  복리 5.75%​저축은행 전용계좌는 20영업일 발급제한이 걸린 경우 개설을 추천합니다.이건 웰컴통장이 있어야 가입되고 sb톡톡플러스 앱 비로그인서비스로가입가능이 안되네요.전용계좌는 비로그인서비스서 상품앞에 전용계좌라고 붙고20영업일발급제한이 안걸렸으면 입출금통장이 같이 개설됩니다.​​​



 















































6%이상 찾기 힘든거 맞나요?이제 예금 8%,적금 10%는 꿈인가요.​​​",['저축은행 월지급도 가능한건가요?']
바로저축은행 예금, ♥드디어 전용상품으로 떴네요 파킹용 예금 3.8% (하루만 맡겨도 3.8%복리/부분해지 3번까지 3.8%복리 일별로 다 챙겨줘요)♥ ,2023.10.04. 12:11,"이 상품은 하루만 넣었다 해지해도 3.8% 주는 파킹용 예금입니다. 부분해지 3번까지 허용되니, 목돈이시고 중간에 몇번 빼서 자금 쓰실분은 2,3계좌 만드셔서 부분해지로 유동성을 더 늘리시면 됩니다. (계좌당 3번)저번에 소개한 페퍼루 중도해지free예금의 업그레이드된 버젼이라 저도 오늘 페퍼꺼 해지하고 여기다 옮겼네요.  이 상품이 일반 수시입출금식 파킹통장보다 좋은점은 갈대같이 이율이 흔들리지 않고 딱 고정이란 점이죠  ^^ ​가입방법은....Sb톡톡+ 어플 실행 후, 오른쪽 상단 삼색줄---> 비로그인서비스--->계좌개설--->상품검색---> 검색란에 '파킹' 넣고 검색 클릭!! ---> 아래서 2번째 상품 우리금융(전용계좌)"" 우리E음파킹e-정기예금""선택 ---> 계속 진행하시면 됩니다. 기간은 반드시 36개월 선택!!​​주의하실 점은, 통장개설 20일 제한 걸린 상태에서 하셔요. 안그럼 자동으로 우리금융저축은행 입출금이 같이 만들어져요. 통장개설 20일 제한에 안걸리신 분들은 신협에 가셔서 입출금통장 하나 개설 후, 이 집 업무 다 끝나고 당일 해지하시면 됩니다. ^^ ​<신협 입출금계좌 만드는법>신협on뱅크 로그인 후, 상품몰--->계좌선택 아래 + 클릭---> 자립예탁금--->신청하기--->아무 지점꺼 선택해 계속 진행하시면 됩니다.(이집업무 다 보고 꼭 신협 입출금 해지하세요.그래야 20일 제한 상태서 바로 풀리니까요. )​​​",['sb가어디에요?']
바로저축은행 예금, 상상인저축 6% 예금 & 하나저축 6.1% 예금 간단 이자 비교! ,2022.10.19. 17:56,"내일, 하나저축은행에서 6.1% 예금 특판이 출시 예정인데요. 상상인저축은행에서 6% 예금 나오자마자 바로 나오는 상품이다 보니 다시 갈아타야 하나 고민이 될 것 같습니다.​그래서, 간단하게 이자를 비교해보았는데,



 














두 상품 모두 회전주기형 예금상품이고 간단하게 1년 기준으로 했을 때 이자차이는 하나저축은행의 세바퀴 예금특판이 약 4만원 가량 더 많습니다.12개월 주기가 끝나고 그 다음해에도 동일한 이율을 적용한다고 했을 때 이자차이는 약 8만 5천원이 발생됩니다.(예상이자는 일반과세 / 세후 기준이에요!)​정리하자면,​회전주기형 상품이지만 12개월이 지나는 시점에  이율을 보고 해지할 지 그대로 둘 지 결정하시면 될 것 같고, 상상인저축은행에 가입하신 분들은 0.1% 이자 차이긴 하지만 원금이 크다면 몇 만원 이상의 이자차이가 발생되므로 갈아탈지 말지 선택하시면 되겠습니다. 원금이 크지 않은 분들이라면 그대로 두고, 다른 금융권의 예금특판을 기다려보시는 것도 고려해볼 수 있을 것 같네요.​저는 오늘 상상인저축은행에 1계좌 만들어놓은 상황인데, 하나저축은행으로 갈아타진 않으려고 합니다. 그 이유는.. 다음 주 만기되는 상품이 있는데 이때까지 지켜보고 하나저축이 가입이 가능하다면 분산해서 할 계획이고, 가입이 안된다면 다른 특판 예금을 기다려보려구요. 한 곳에 올인하기 보다는 금리 높은 예적금 상품에 분산해놓는 것이 좋습니다^^.​내일 혹시나 하나저축은행 가입하시려는 분들은 가입성공하시길 응원하겠습니다~~!!!",['비교 감사합니다!하나저축은행도 전용계좌가입이 가능한 상품인가요?\xa020일 계좌 개설 제한 중이라 전용계좌가입 가능한 상품밖에 못들어서 궁금하네요']
바로저축은행 예금, 오케이저축은행 만기 후 신협 예금 2개 가입 ,2023.06.30. 10:57,"[Web발신]0646724****211계좌 10,226,683원 만기해지 후 송금 처리되었습니다. (주)오케이저축은행​​천만원 가입 후 이자 226,683원 받았네용​오전에 남아있는 신협 저율과세 670만원,추천받은 동인천신협 6개월 4.4% 600만원 바로 가입했어용​모두 즐거운 저축하시길 바랍니다!!",['부럽고 대단하세요\n축하드립니다']
바로저축은행 예금, 한국투자저축 1년 6.5%예금만기 해지건 ,2023.10.23. 08:20,돈이 사라졌다고들 하시는데.. 저도 마찬가지 ㅋㅋ연결계좌로 아마 영업시간 오전 9시대에 원금+이자 입금될꺼예요. ^^ 걱정마세요. 혹시 그때도 안들어 왔다면 전화문의 해보세요. 이 문자는 작년 가입하시고 다 받으셨을 꺼예요.,['감사합니다 기다려봐야겠네요']
바로저축은행 예금, 바로저축은행 db저축은행 괜찬을까요? ,2022.10.17. 18:31,현재 hb저축은행이랑 같은 예금이자던데 위 저축은행이 hb보다  자기자본비율이랑 건전성 나은지 알수가 없네요,['요기 보시면 나옵니다. 판단은 직접 하시고 예금자보호 금액만큼만 넣는 것도 중요합니다.https://m.cafe.naver.com/onepieceholicplus/4006799해당 은행 홈페이지에도 나옵니다.']
오투저축은행 예금, 저축은행 6개월 4.4-4.53% 예금(통장개설 20일 제한 상태서 진행하세요-현재 감옥이신분은 바로 진행가능) ,2023.10.24. 22:30,전용계좌 상품이라 20일 제한 아닌 상태서 하시면 입출금통장이 자동으로 개설되어 통장개설 20일 제한에 갇히시게 됩니다.,['와우~좋은데요👍']
